Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/runs/probe_K_anchor7_20260619T015828Z
Reference: claude-opus-4.5 (anchored at 7/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  gemini-2.5-flash on gemini-2.5-flash: 21.9s, comp=3828, chars=18901, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.0: 20.0s, comp=3761, chars=18955, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.1: 24.6s, comp=4077, chars=20557, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-sonnet-4: 22.1s, comp=4065, chars=20640, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-2024-08-06: 45.1s, comp=3908, chars=18400, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-mini: 7.9s, comp=1099, chars=5400, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o: 16.9s, comp=3184, chars=15605, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-nano: 41.8s, comp=3541, chars=16267, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-2025-04-14: 19.1s, comp=3728, chars=17737, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-2024-08-06: 17.4s, comp=3160, chars=15440, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.1: 12.9s, comp=2466, chars=11029, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-mini: 21.3s, comp=3838, chars=18191, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-nano: 21.8s, comp=4055, chars=19944, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-mini: 5.6s, comp=798, chars=3875, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-2.5-flash: 32.7s, comp=2348, chars=10307, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-3.1-pro: 36.7s, comp=2766, chars=12454, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-mini: 12.4s, comp=2521, chars=11391, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.0: 31.6s, comp=2419, chars=11042, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o: 28.8s, comp=2314, chars=10336, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-sonnet-4: 31.7s, comp=2344, chars=10743, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-2024-08-06: 27.3s, comp=2071, chars=9161, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-3.1-pro: 11.3s, comp=998, chars=4829, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-2025-04-14: 29.5s, comp=2268, chars=10035, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-mini: 7.9s, comp=755, chars=3874, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-nano: 28.0s, comp=2177, chars=10035, finish=stop, json=err
  ok  gpt-41-mini on claude-sonnet-4: 22.5s, comp=2565, chars=12701, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.1: 24.3s, comp=2773, chars=13429, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.0: 25.5s, comp=2482, chars=11785, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-2.5-flash: 30.4s, comp=2950, chars=14183, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-3.1-pro: 4.6s, comp=920, chars=4168, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-2025-04-14: 22.4s, comp=2287, chars=10722, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o: 22.8s, comp=2723, chars=13451, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.0: 4.3s, comp=734, chars=3643, finish=stop, json=err
  ok  gpt-41-nano on gemini-2.5-flash: 10.5s, comp=2650, chars=12772, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.1: 9.8s, comp=2150, chars=10137, finish=stop, json=parsed
  ok  gpt-41-nano on claude-sonnet-4: 8.9s, comp=1992, chars=9615, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o: 9.6s, comp=2184, chars=10312, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-mini: 3.5s, comp=622, chars=3090, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-2024-08-06: 26.0s, comp=2413, chars=11172, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-2025-04-14: 10.4s, comp=2302, chars=10827, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-nano: 20.0s, comp=2273, chars=10876, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-mini: 27.4s, comp=3320, chars=15754, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-2024-08-06: 11.9s, comp=2334, chars=11461, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-mini: 11.4s, comp=2563, chars=11885, finish=stop, json=parsed
  ok  gpt-4o on gemini-2.5-flash: 9.3s, comp=1949, chars=9175, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-nano: 11.8s, comp=2445, chars=11862, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-mini: 3.9s, comp=573, chars=2798, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.0: 14.1s, comp=2172, chars=10085, finish=stop, json=parsed
  ok  gpt-4o on gemini-3.1-pro: 17.8s, comp=2448, chars=12095, finish=stop, json=parsed
  ok  gpt-4o on claude-sonnet-4: 10.8s, comp=2220, chars=11015, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.1: 15.6s, comp=2289, chars=10996, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-2024-08-06: 9.1s, comp=1910, chars=8987, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o: 13.0s, comp=2070, chars=9609, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-2025-04-14: 13.1s, comp=2268, chars=10596, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-mini: 11.2s, comp=2090, chars=10153, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-nano: 14.8s, comp=2343, chars=11124, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-sonnet-4: 10.9s, comp=2251, chars=10991, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-2.5-flash: 14.2s, comp=2174, chars=10275, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-3.1-pro: 15.5s, comp=2240, chars=10735, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o: 10.3s, comp=2173, chars=10594, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.1: 15.4s, comp=2592, chars=12919, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.0: 14.1s, comp=2310, chars=11344, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-2025-04-14: 10.1s, comp=2037, chars=9503, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-mini: 5.2s, comp=623, chars=2939, finish=stop, json=err
  ok  gpt-4o-2024-08-06 on gpt-4o-2024-08-06: 11.0s, comp=2039, chars=9648, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-mini: 13.0s, comp=2313, chars=11268, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-nano: 12.7s, comp=2159, chars=9975, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-3.1-pro: 31.4s, comp=2556, chars=12923, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-sonnet-4: 29.5s, comp=2446, chars=12288, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.1: 33.5s, comp=2793, chars=13993, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.0: 38.8s, comp=2902, chars=14895, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-2.5-flash: 42.4s, comp=3204, chars=16439, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o: 37.8s, comp=2825, chars=14126, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-mini: 38.8s, comp=3035, chars=15934, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-2025-04-14: 40.0s, comp=3102, chars=15936, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-nano: 30.9s, comp=2062, chars=10484, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-2024-08-06: 39.3s, comp=2573, chars=12963, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-mini: 41.5s, comp=2418, chars=12050, finish=stop, json=missing

Wrote /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/runs/probe_K_anchor7_20260619T015828Z/run_info.json
Summary: 132/132 succeeded, 128/132 produced parseable JSON.
