Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/runs/probe_K_anchor7_20260619T040659Z
Reference: claude-opus-4.5 (anchored at 7/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/reproduce_paper1/scripts/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  claude-opus-4.5 on gpt-4o-mini: 68.1s, comp=3684, chars=16697, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o: 70.6s, comp=3641, chars=16803, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-sonnet-4: 74.5s, comp=4082, chars=19239, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.0: 83.5s, comp=4395, chars=19955, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-2.5-flash: 83.7s, comp=4420, chars=18749, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-3.1-pro: 89.8s, comp=4794, chars=22844, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-2025-04-14: 95.2s, comp=4488, chars=21134, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.1: 100.5s, comp=5227, chars=24288, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-nano: 45.8s, comp=2530, chars=10925, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-2024-08-06: 65.9s, comp=3510, chars=15889, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-mini: 75.5s, comp=3934, chars=17331, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.1: 92.2s, comp=3185, chars=14816, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-sonnet-4: 93.1s, comp=3424, chars=16622, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-3.1-pro: 117.5s, comp=4119, chars=19726, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.0: 115.7s, comp=3902, chars=17931, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o: 128.9s, comp=4246, chars=20624, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-mini: 104.7s, comp=3434, chars=15784, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-2.5-flash: 169.4s, comp=4948, chars=23879, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-2025-04-14: 128.9s, comp=4190, chars=20747, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-2024-08-06: 88.5s, comp=3313, chars=15306, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-nano: 71.7s, comp=1772, chars=8860, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-mini: 121.3s, comp=3829, chars=17857, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-3.1-pro: 117.3s, comp=4192, chars=20882, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.0: 98.5s, comp=3544, chars=16676, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.1: 116.0s, comp=3886, chars=18209, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-2.5-flash: 120.4s, comp=4142, chars=19620, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-sonnet-4: 112.4s, comp=4107, chars=20797, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-2025-04-14: 111.7s, comp=3717, chars=17499, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o: 127.3s, comp=4090, chars=19594, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-mini: 83.2s, comp=3100, chars=14267, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-nano: 52.9s, comp=1711, chars=8114, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-2024-08-06: 104.5s, comp=3601, chars=17151, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-3.1-pro: 67.0s, comp=3522, chars=17282, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-mini: 99.4s, comp=3368, chars=15545, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-2.5-flash: 75.7s, comp=3808, chars=18311, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.1: 68.9s, comp=3506, chars=17400, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.0: 60.6s, comp=3337, chars=15981, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-sonnet-4: 63.4s, comp=3396, chars=17430, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o: 60.2s, comp=3281, chars=16269, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-3.1-pro: 26.6s, comp=3201, chars=15547, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-nano: 32.5s, comp=1586, chars=7679, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-mini: 55.9s, comp=3270, chars=16745, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-2025-04-14: 61.9s, comp=3276, chars=16258, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-2.5-flash: 41.1s, comp=3511, chars=16288, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-2024-08-06: 56.0s, comp=3300, chars=16549, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-mini: 64.3s, comp=3270, chars=15831, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.1: 37.1s, comp=3505, chars=17207, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.0: 36.9s, comp=3462, chars=16166, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-sonnet-4: 40.3s, comp=3703, chars=17610, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-2025-04-14: 32.1s, comp=2963, chars=13334, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-mini: 29.2s, comp=2586, chars=11126, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o: 39.4s, comp=3383, chars=15607, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-nano: 18.5s, comp=1537, chars=6980, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-3.1-pro: 20.6s, comp=3626, chars=17640, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.1: 18.5s, comp=3471, chars=17447, finish=stop, json=parsed
