# per-model T bootstrap replicates (council basis, pooled runs [1, 2]; seed 20260816, B=300)
# produced by scripts/pooled_council_tables.py
model,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70,r71,r72,r73,r74,r75,r76,r77,r78,r79,r80,r81,r82,r83,r84,r85,r86,r87,r88,r89,r90,r91,r92,r93,r94,r95,r96,r97,r98,r99,r100,r101,r102,r103,r104,r105,r106,r107,r108,r109,r110,r111,r112,r113,r114,r115,r116,r117,r118,r119,r120,r121,r122,r123,r124,r125,r126,r127,r128,r129,r130,r131,r132,r133,r134,r135,r136,r137,r138,r139,r140,r141,r142,r143,r144,r145,r146,r147,r148,r149,r150,r151,r152,r153,r154,r155,r156,r157,r158,r159,r160,r161,r162,r163,r164,r165,r166,r167,r168,r169,r170,r171,r172,r173,r174,r175,r176,r177,r178,r179,r180,r181,r182,r183,r184,r185,r186,r187,r188,r189,r190,r191,r192,r193,r194,r195,r196,r197,r198,r199,r200,r201,r202,r203,r204,r205,r206,r207,r208,r209,r210,r211,r212,r213,r214,r215,r216,r217,r218,r219,r220,r221,r222,r223,r224,r225,r226,r227,r228,r229,r230,r231,r232,r233,r234,r235,r236,r237,r238,r239,r240,r241,r242,r243,r244,r245,r246,r247,r248,r249,r250,r251,r252,r253,r254,r255,r256,r257,r258,r259,r260,r261,r262,r263,r264,r265,r266,r267,r268,r269,r270,r271,r272,r273,r274,r275,r276,r277,r278,r279,r280,r281,r282,r283,r284,r285,r286,r287,r288,r289,r290,r291,r292,r293,r294,r295,r296,r297,r298,r299
claude-opus-4.0,5.5931,5.8189,6.1444,5.6392,5.6785,5.5550,6.0354,5.9152,5.4806,5.7884,6.0270,5.7705,5.6820,6.0268,5.9545,5.9536,5.6437,6.1466,6.0322,5.7800,5.8715,5.8854,6.2234,5.9194,6.0779,5.8526,5.5973,5.5142,5.8908,5.6941,5.6518,5.9208,5.8824,5.7550,5.4896,5.3462,5.5693,5.6913,5.6577,5.9542,5.6643,5.6740,5.9329,6.0354,5.4909,5.7451,6.0556,5.6689,5.8290,5.7516,6.0442,5.7766,5.8133,5.5693,5.8513,5.6134,5.9351,6.2221,5.8612,5.5027,5.8129,6.0335,5.8349,5.9070,6.0977,6.0288,5.6124,5.9180,5.7735,5.7387,5.3886,5.8908,5.8822,5.6788,5.9657,5.7038,5.5442,5.7663,5.7246,5.6395,5.5804,5.8741,5.7739,5.9376,5.6997,5.6181,6.0781,5.9404,5.8922,5.9063,5.6585,6.0113,5.6064,5.8191,6.1524,6.2020,5.7204,5.7751,6.2796,5.7562,5.7731,5.7445,5.5032,6.2337,5.6987,5.9615,6.1157,5.7536,5.8815,5.8909,5.6478,5.7116,5.9041,5.7417,6.1262,5.8211,5.9755,5.8829,5.7650,5.5533,5.4405,5.9243,5.8679,5.7162,5.6236,5.9079,5.7033,5.8732,6.2265,5.9315,5.9277,6.4327,5.7045,6.1607,5.8170,5.6861,6.0654,6.0833,5.7273,5.7062,6.1735,6.0368,5.9536,5.9459,5.4394,6.1539,5.9420,5.8948,5.9045,5.6320,5.4189,5.7655,5.6814,5.7999,5.6076,6.0604,5.6091,6.1999,5.6938,5.7802,5.9249,5.9003,5.8748,5.6842,5.7176,5.9455,5.4280,5.9790,5.3381,5.9798,5.9152,5.8062,5.4262,5.8938,5.8588,6.1055,5.5987,5.8410,6.0174,5.9227,5.8631,5.8121,5.9345,5.9001,5.8345,6.0925,5.8812,5.7011,5.9533,5.3548,5.6468,6.0302,5.7717,5.7091,5.8882,5.9847,5.5281,5.7822,5.9746,5.9896,5.3731,5.8263,5.9109,5.9019,5.8255,5.3544,5.6362,5.8775,5.7350,5.8512,5.5835,5.5796,6.0978,5.5416,5.6960,5.5298,6.0334,5.9758,5.2468,5.7454,5.6785,5.6861,5.7997,5.9416,5.8846,5.7947,5.8893,5.7705,5.8171,5.9574,6.3121,5.6656,5.7416,5.9315,6.0406,5.9513,5.7552,5.7135,5.7294,6.1241,5.3888,5.8210,5.6804,5.7174,5.6392,5.8212,5.4558,5.8358,5.7604,5.7271,5.5973,5.6470,5.7125,5.8165,5.9142,5.9103,5.7705,6.1102,5.5493,5.5341,5.3746,5.8358,5.4981,5.6235,5.6639,5.7642,6.0237,6.0701,5.9107,5.7117,6.1111,6.0610,5.8654,5.6084,5.9116,5.9952,5.6911,5.9527,5.6186,5.9792,5.8685,5.5097,6.0346,5.7553,5.9344,5.7311,5.7040,5.9155,6.1039,5.9842,5.6717,5.6452,5.9556,5.8984,5.9649,5.7411,5.7588,5.6130,5.7672,5.9784
claude-opus-4.1,5.8961,6.1877,6.1014,5.6971,6.0387,5.8803,6.1478,5.9242,5.9037,6.0968,6.1023,6.0271,5.9553,6.1118,6.0767,5.9128,6.2667,6.2920,6.0134,5.9658,6.1911,6.0998,6.1944,5.9528,6.2652,6.2745,6.1562,5.8980,6.0291,6.2344,5.8001,5.7526,5.9059,6.3507,6.1019,6.2517,5.9826,6.0191,6.2269,6.3502,6.1422,5.9760,5.8768,6.0675,5.9583,5.9173,6.0479,6.2033,6.0024,6.1104,5.9768,6.1517,6.2254,6.2666,5.9551,6.2850,5.8492,6.4145,5.8745,5.7592,5.7751,6.0192,5.8030,6.3143,6.0696,5.8668,6.0063,5.9654,6.2856,5.7915,6.0729,6.4042,5.8607,5.7641,5.9129,6.1701,6.1714,6.2389,5.9388,5.8750,6.0771,6.0769,6.0491,6.1255,5.9029,6.3381,6.1284,5.9754,6.1274,5.7140,5.9377,6.1443,5.9445,6.1856,6.1274,6.3614,5.9596,5.9336,6.3849,5.7328,6.3369,5.9799,5.9801,6.1751,5.9790,6.2343,6.1059,5.6979,6.1273,5.7063,6.1826,6.0479,6.0877,6.2531,6.0962,5.8265,6.1907,6.0398,5.7407,5.7920,6.3735,5.9440,5.8349,5.7742,5.6674,6.0851,5.9329,6.0996,6.0123,6.1531,5.7981,6.5432,5.9766,6.2951,5.8294,5.5787,6.2522,6.1807,6.1076,5.9751,6.0945,5.9747,6.2137,6.1482,6.1716,6.1034,5.9517,6.1341,5.7691,5.9533,5.9065,6.2977,5.9945,6.1639,5.7033,5.9320,5.8465,6.2264,6.0631,6.2237,6.1992,6.1157,5.9098,6.0533,5.9192,5.9327,6.1496,6.0563,6.3352,6.2639,6.1284,6.0162,6.1748,6.1773,5.9757,6.2131,6.0607,5.7235,5.9481,5.9643,6.0932,5.8471,5.9971,5.8761,5.9567,6.0306,6.1289,5.7682,6.0309,6.1730,5.9719,6.0699,6.1499,5.7698,6.0008,6.2088,6.3226,6.1363,6.0243,6.0030,5.8870,5.8321,5.9294,6.2295,5.9976,6.1371,5.8394,6.1442,6.0187,5.9317,5.8998,5.7322,6.0071,6.0732,6.2388,5.9618,6.2698,6.0091,6.1983,6.0755,5.9710,5.6643,6.0246,6.0150,5.8680,5.7609,6.1933,6.0049,5.8127,5.9190,6.3943,6.0499,6.5424,5.7535,6.3193,5.9211,6.0865,6.0562,6.1567,6.1860,5.9339,5.7726,6.0251,6.0310,5.7544,5.7821,6.0684,6.1504,6.0198,5.9806,5.8218,5.8790,5.8310,6.1470,6.0515,5.8068,5.9654,6.1390,6.1598,6.0918,6.1896,6.0017,6.0291,6.1124,6.0414,5.9242,5.8830,6.2709,5.9218,5.9171,6.0103,6.4194,6.1294,5.7985,6.0526,6.0663,6.2404,6.1427,6.2165,5.9108,5.9524,6.1203,6.1958,6.0871,5.9519,6.0565,6.1839,5.9374,6.1350,6.2118,5.9731,5.8633,5.9749,6.0468,6.1940,6.0845,6.0512,6.2178,5.8735,5.9133
claude-opus-4.5,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000
claude-sonnet-4,5.2271,5.0147,5.2257,5.5579,5.1230,5.1059,4.9245,5.3136,5.2490,5.1039,5.2385,4.9112,5.3169,5.3370,5.2366,5.3698,5.1581,4.9703,5.3254,5.1642,5.4664,5.1304,5.3925,5.2636,5.3793,5.2108,5.4900,5.2841,5.3956,5.2543,5.2553,5.4083,5.1043,5.4393,5.1702,5.2698,5.2272,5.0460,5.2653,5.3344,5.0420,5.3509,5.3704,5.1013,5.1702,5.2001,5.2472,4.9933,5.0418,5.1893,5.1217,5.1585,5.3077,5.1947,5.1251,5.1939,5.0679,5.3404,5.2375,5.1891,5.0931,5.2470,5.3228,5.3492,5.2322,5.2362,5.1239,5.3614,5.1968,5.0350,5.2322,5.2785,5.0904,4.9825,5.6438,5.1067,5.3264,5.4233,5.1301,5.2659,5.2197,5.1191,5.2898,4.8766,5.1863,5.3166,5.4379,5.1543,5.1290,5.5114,5.1289,5.4110,5.3821,5.3632,5.3065,5.2309,4.8268,5.0284,5.2023,5.0921,5.2662,5.2818,5.2100,5.1627,5.4355,5.4970,5.5101,5.1057,5.1018,5.2188,5.3449,5.1844,5.3510,5.3555,5.2631,5.1588,5.4513,5.2456,5.4519,5.0249,5.3707,5.4406,5.2625,5.1065,5.1311,5.3112,5.0961,5.1875,5.2536,5.2757,5.1644,5.4971,5.1685,5.3471,5.1183,5.3432,5.2764,5.3296,5.1562,5.1536,5.2804,5.2110,5.1028,5.1961,5.1617,5.3953,5.3440,4.9994,5.3230,5.3027,5.2603,5.2586,5.1697,5.1984,5.4856,5.3915,5.2218,5.1916,5.2665,5.2677,5.1521,5.3291,5.0961,5.3302,5.3284,5.4703,5.2396,5.0968,5.2677,4.9991,5.2566,5.1047,5.4135,5.0880,5.4918,5.2686,5.2345,5.1961,5.4137,5.1431,5.3159,5.4930,5.4151,5.4790,5.0124,5.2091,4.9906,5.4931,5.0792,5.1196,5.4799,4.9425,5.0553,5.4289,5.4171,5.2665,4.8186,5.4970,5.3513,5.1264,5.2446,5.2859,5.2439,5.0193,5.0996,5.3067,5.2286,5.3131,5.2907,4.9922,5.1886,5.0241,5.2077,5.1659,5.1179,5.4215,5.4158,5.2208,5.2641,5.1949,5.3094,5.1629,5.0526,5.3948,5.1350,5.1275,5.1714,5.3516,5.4532,5.2820,5.1489,5.2337,5.0953,5.0078,5.3503,5.4002,5.2626,5.1234,5.3239,5.2856,5.3728,4.9081,5.1686,5.3119,5.2657,5.0771,5.1608,5.1330,5.1780,5.3763,5.1873,5.2753,5.1724,5.2272,5.2399,4.9658,5.3422,4.9657,5.0972,4.9231,5.2204,5.3383,5.2038,5.2951,5.1049,5.0717,5.3864,5.4788,4.9891,5.2844,5.2743,5.3431,5.0928,5.3500,5.3115,5.2108,5.1815,5.3855,5.4545,5.3187,5.1775,5.2601,5.2014,5.2358,5.0636,5.0743,5.4703,5.1271,5.3781,5.0549,5.3402,5.3051,5.2534,5.0966,5.1021,5.1567,5.2288,5.2404,5.1598,5.2862
gemini-2.5-flash,5.6819,5.7062,5.9120,4.9406,6.0966,6.3065,6.0379,5.9012,5.2456,5.5540,6.1427,5.9638,5.8059,6.2408,6.0474,5.7645,6.2362,5.7008,6.0908,5.8607,5.6039,6.3557,6.0186,5.1715,6.2150,6.4047,5.8577,5.6575,6.0569,5.8246,5.9720,5.3269,5.8114,6.2342,5.5449,5.8436,5.1977,6.0005,6.0216,6.0738,6.1489,5.8446,5.9403,6.3174,5.8806,6.0575,6.0394,6.0872,6.2364,6.4583,5.2167,6.1210,6.4808,6.1979,6.2251,5.9914,5.4082,6.2456,5.8538,5.9496,5.3220,6.0656,5.7557,5.9669,5.9994,6.1270,6.2313,5.9705,5.9857,6.0467,5.6770,6.2771,5.7072,5.5926,5.8370,5.8979,5.9395,6.1197,6.3333,5.5952,6.0199,5.9794,6.0687,6.1140,5.9193,6.4285,6.3125,6.1457,5.7555,5.9163,5.2138,5.4499,5.4220,5.6887,6.0281,6.3455,5.8706,5.9109,6.3141,5.3617,6.2145,5.9275,5.5585,5.7318,6.1115,6.3629,6.2923,5.8466,6.3417,5.1675,5.9522,6.0383,5.9753,6.1737,5.8601,5.8268,6.3122,6.1209,5.6435,5.4048,6.1745,5.8103,5.2653,5.7764,5.0613,5.9676,5.7843,5.8857,5.4768,6.2319,5.6369,6.0778,5.6753,6.1935,5.7791,5.3101,5.7457,5.9313,6.4908,6.2706,6.4006,6.0122,5.2494,5.9646,5.9299,6.0155,5.7518,6.1911,5.5973,5.9946,5.7294,6.3121,5.8997,5.9394,4.7252,5.3100,5.9781,6.2373,6.0134,6.2762,5.5922,6.0874,5.9507,5.9030,5.9427,5.9141,6.0608,5.4923,6.0544,5.9198,6.0868,5.7069,6.0124,5.6116,6.2258,6.1285,5.7944,6.1260,5.7830,6.2071,6.1276,5.7054,5.5153,6.2832,6.1203,5.7320,6.2729,5.9434,6.2862,6.2117,5.8319,6.0145,5.6895,5.8718,5.8278,5.9811,6.1411,6.1801,5.9341,6.0246,5.3653,5.8756,5.6738,5.9166,6.0620,6.1929,5.2182,6.4813,6.2512,5.5546,5.7943,5.3757,5.8674,6.1920,6.2085,5.7330,6.2773,5.7560,5.4907,5.7560,5.3430,5.3617,6.0870,5.6136,5.4971,6.2165,6.5628,5.9604,5.7854,6.4590,5.7917,6.1334,6.3752,5.9395,6.5068,5.6209,6.1746,6.2994,6.2130,6.1498,5.9617,5.7513,6.0402,5.9687,5.8829,5.8572,5.5946,6.2018,6.1730,6.2004,5.8866,6.1118,5.4471,5.6019,6.3943,5.8073,5.9138,6.0475,6.2614,6.1550,5.8173,6.0255,6.0066,5.8758,5.7942,6.1759,5.7965,6.2619,5.8586,6.1917,6.2099,6.2998,5.9712,5.5954,6.0619,5.6507,6.3747,5.9344,6.4275,5.8484,6.1246,6.3826,5.7586,6.2736,5.8762,5.9626,6.0947,5.9986,6.0348,5.9169,6.0151,5.8335,6.5143,6.0999,6.1427,6.1245,5.9476,6.4371,5.7983,5.7507
gemini-3.1-pro,6.8768,6.7926,6.7581,6.6658,6.7486,6.9011,6.6413,6.7302,6.7352,6.8088,6.7866,6.6947,6.7242,6.6566,6.8020,6.7329,6.7341,6.8523,6.8129,6.7399,6.6543,6.8266,6.6966,6.9007,6.7040,6.8276,6.7198,6.7517,6.7459,6.7335,6.9580,6.7607,6.7884,6.7435,6.7897,6.7182,6.7151,6.8353,6.7831,6.6257,6.8375,6.7368,6.8598,6.7558,6.7643,6.7322,6.7916,6.7738,6.8412,6.8920,6.7490,6.9123,6.8009,6.7016,6.8562,6.7452,6.8929,6.6838,6.7498,6.9083,7.0096,6.7905,6.7292,6.6896,6.7547,6.7096,6.8696,6.6743,6.7811,6.8511,6.7112,6.7186,6.6834,6.8293,6.7273,6.7541,6.6639,6.7407,6.6968,6.8596,6.8734,6.7825,6.7296,6.7263,6.8121,6.8022,6.7184,6.7230,6.7720,6.8418,6.7869,6.7398,6.8630,6.9445,6.7598,6.7409,6.7816,6.7791,6.7252,6.9184,6.8165,6.8030,6.7700,6.7993,6.7483,6.7158,6.6545,6.7062,6.7766,6.8627,6.8709,6.6518,6.7252,6.7447,6.8263,6.7941,6.7683,6.8144,6.7778,6.7971,6.8509,6.7704,6.6697,6.8517,6.8257,6.7857,6.6960,6.6513,6.7124,6.6559,6.7018,6.7569,6.7438,6.7160,6.8676,6.7561,6.7638,6.7923,6.7787,6.9357,6.7176,6.7878,6.6407,6.7198,6.8699,6.7025,6.7297,6.7224,6.8446,6.7563,6.8384,6.7452,6.6136,6.7337,6.7161,6.7697,6.7846,6.7773,6.7024,6.7042,6.7467,6.7622,6.7670,6.7690,6.6650,6.7587,6.7451,6.7141,6.7064,6.7080,6.6553,6.7964,6.8926,6.6939,6.8019,6.7760,6.7957,6.8470,6.7256,6.8616,6.8351,6.7948,6.7794,6.7395,6.8510,6.8395,6.7628,6.8910,6.7088,6.8198,6.9317,6.7023,6.7694,6.7733,6.7612,6.7023,6.7573,6.7647,6.9347,6.7361,6.8307,6.6757,6.7357,6.7119,6.6722,6.7530,6.6563,6.7333,6.7731,6.6272,6.7890,6.8995,6.6448,6.6750,6.7394,6.7588,6.6859,6.7073,6.7479,6.9689,6.7522,6.8472,6.8934,6.6613,6.7532,6.7624,6.7462,6.7963,6.9346,6.7613,6.6359,6.8460,6.8927,6.6818,6.7545,6.7540,6.7144,6.7515,6.8022,6.8332,6.8484,6.7867,6.8011,6.7475,6.7849,6.8004,6.7530,6.8644,6.7648,6.8891,6.8766,6.6900,6.8191,6.6610,6.7678,6.7213,6.8409,6.7296,6.7430,6.9244,6.8191,6.6759,6.7856,6.8929,6.6636,6.8987,6.6989,6.8251,6.7242,6.7315,6.8032,6.6671,6.7670,6.8546,6.7304,6.7970,6.8167,6.7495,6.7420,6.6670,6.7923,6.7960,6.7956,6.7077,6.7222,6.7345,6.7593,6.7742,6.7192,6.7234,6.7414,6.7275,6.8083,6.7923,6.7145,6.6987,6.8190,6.7735,6.7803,6.7024
gpt-4.1-2025-04-14,4.5726,4.4776,4.6301,4.3779,4.3634,4.3502,4.4784,4.4648,4.6097,4.5950,4.3640,4.3808,4.5095,4.6299,4.3694,4.5556,4.4869,4.5153,4.6074,4.4847,4.4159,4.4286,4.6305,4.5511,4.5870,4.6313,4.6222,4.6003,4.6653,4.6867,4.6337,4.5865,4.4736,4.3944,4.5688,4.6908,4.5282,4.4148,4.5487,4.4051,4.4563,4.5686,4.4846,4.4827,4.4886,4.5271,4.6889,4.4986,4.6037,4.6535,4.6264,4.5591,4.5838,4.4354,4.3756,4.5331,4.3457,4.5329,4.5663,4.4595,4.4785,4.7231,4.4931,4.4454,4.6075,4.5002,4.5396,4.5806,4.5204,4.6120,4.5123,4.5782,4.4794,4.6888,4.6264,4.5055,4.4337,4.3523,4.5195,4.4264,4.6971,4.4542,4.4706,4.6280,4.5551,4.4524,4.5435,4.4889,4.5150,4.4911,4.5405,4.5414,4.5879,4.4557,4.6656,4.4460,4.5267,4.5514,4.5379,4.5495,4.6716,4.6258,4.5417,4.5551,4.4512,4.5281,4.3923,4.5058,4.3995,4.4107,4.4674,4.6116,4.5508,4.4571,4.5065,4.6184,4.2901,4.4994,4.5755,4.6101,4.5032,4.4255,4.4588,4.3300,4.5016,4.5583,4.5082,4.6327,4.4660,4.5257,4.4938,4.5512,4.5802,4.6111,4.5586,4.4874,4.6410,4.4938,4.5776,4.3630,4.3798,4.5417,4.4345,4.5567,4.4671,4.5002,4.5553,4.4693,4.5023,4.5791,4.4899,4.4234,4.4990,4.4991,4.5091,4.4945,4.6976,4.4762,4.5484,4.4671,4.5095,4.5820,4.3748,4.4196,4.6026,4.5517,4.6122,4.4043,4.3952,4.4096,4.5514,4.6107,4.6729,4.6158,4.5484,4.3575,4.3637,4.5065,4.5937,4.4813,4.5431,4.3643,4.4814,4.3152,4.6022,4.6419,4.5955,4.5738,4.5219,4.4062,4.4575,4.4469,4.4523,4.4140,4.3609,4.4750,4.5704,4.5057,4.5337,4.4938,4.5088,4.3447,4.5468,4.5718,4.5267,4.4950,4.3881,4.6107,4.3671,4.5516,4.4761,4.5859,4.4150,4.4076,4.5735,4.5540,4.5884,4.4577,4.5176,4.5016,4.5293,4.4979,4.5304,4.5939,4.4084,4.4143,4.6062,4.6037,4.6007,4.4201,4.5776,4.5649,4.4311,4.4325,4.5496,4.4429,4.5450,4.4539,4.4313,4.4803,4.4818,4.4833,4.3817,4.5915,4.5534,4.4139,4.6885,4.5401,4.5620,4.5261,4.4855,4.6176,4.5192,4.5918,4.5987,4.4930,4.6053,4.4773,4.4519,4.4724,4.6150,4.4142,4.5048,4.3514,4.5760,4.4747,4.5238,4.5732,4.6252,4.5785,4.4124,4.5725,4.6016,4.3142,4.6884,4.5590,4.4592,4.4742,4.5224,4.4757,4.5752,4.5536,4.4371,4.4505,4.4421,4.4292,4.5828,4.6035,4.6031,4.4874,4.4814,4.5488,4.4835,4.5018,4.5495,4.5049,4.5201,4.5060,4.5961,4.5308
gpt-4.1-mini,4.5973,5.0791,5.5175,4.6223,3.6880,5.1096,5.2345,5.4114,4.8214,5.7234,5.2044,5.6764,4.8740,4.6593,4.8813,5.4455,5.3359,5.2495,4.4184,5.0334,5.0211,5.3299,4.7437,4.9009,4.7372,4.7236,5.7407,5.5835,5.0925,5.1840,4.5557,4.6477,5.4365,4.2865,5.1037,5.0360,5.1584,5.2934,4.5806,4.2254,5.4404,4.9912,5.3974,4.8479,4.3243,4.9456,4.8061,4.7132,5.5824,5.1481,5.0707,5.4221,4.4103,4.6772,4.4719,5.2272,4.6483,4.2109,5.3787,5.2636,4.1949,4.4642,5.0796,4.8849,5.1030,4.9763,4.7083,5.4667,5.4469,4.3753,4.6577,5.6391,5.2596,4.7772,5.3992,4.8543,5.2117,4.8198,4.9915,5.3390,5.5167,5.1395,5.6994,4.9723,5.2220,5.1011,4.1870,5.2649,5.2854,5.1315,4.8792,5.2968,4.2484,5.2516,5.5609,4.3645,4.8024,5.3417,5.2178,4.9387,5.4188,4.5151,4.7035,4.3910,4.4169,4.8311,4.9084,4.4383,4.2384,4.7726,5.0148,4.7654,5.5516,5.7382,5.1856,5.1093,4.5983,5.2896,5.9037,4.9346,5.2692,4.7508,4.4833,5.4649,4.5860,4.9364,5.0240,5.2793,5.2777,4.3243,4.7448,4.7407,5.7248,5.0273,4.6610,5.2255,4.4528,4.1444,4.8367,4.4075,5.1077,4.8448,4.7835,4.7896,5.2587,4.5807,4.4393,5.4751,4.4101,5.3796,5.7693,5.6715,4.2731,5.8825,5.0453,5.0742,4.7402,5.0925,4.8724,5.0538,4.6396,5.0383,5.0770,5.2806,5.8853,4.9082,5.2239,4.7908,5.6023,4.8835,4.6977,4.8469,5.1329,4.6208,4.6546,5.4895,4.9879,5.2006,5.0531,4.8427,5.0975,5.0231,4.6967,4.7304,5.3595,4.8393,5.3943,4.7837,5.4048,5.2905,4.6363,5.4490,5.2894,5.1295,4.9893,4.6688,5.0048,4.5484,4.8378,4.8942,5.1466,5.2166,4.9755,4.4925,4.8755,5.1022,5.0511,4.6861,5.2619,5.1103,4.7909,5.4833,5.3675,4.7736,5.3370,4.7822,5.6795,4.3351,4.5485,4.9116,4.9330,4.5861,5.0700,4.6633,5.4326,4.7351,4.8033,4.9350,5.0473,4.9835,4.4729,5.3349,4.3520,5.3916,4.2756,5.5419,4.4290,4.3710,3.8883,4.9552,4.7715,4.8306,4.8569,4.6875,5.4419,5.3534,5.2041,4.9162,4.4642,5.5566,4.6460,4.8696,5.3306,5.4449,5.5643,4.8074,5.6692,5.1445,5.1195,4.5243,5.5545,4.2666,4.1712,4.7474,4.3781,5.3549,4.9741,4.7790,4.7256,4.8482,4.8018,4.7646,4.4035,4.9857,5.0178,4.5730,5.2134,5.6141,5.7014,5.2309,4.9065,5.7576,4.6755,4.8692,5.4681,5.2259,5.0303,4.8111,4.5824,5.7786,5.4381,5.0177,4.6207,4.8026,4.9208,5.1753,4.2987,5.3179,5.2616,4.3745
