Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor8_20260529T033755Z
Reference: claude-opus-4.5 (anchored at 8/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  gemini-3.1-pro on gpt-4o-2024-08-06: 27.1s, comp=2928, chars=12828, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-2025-04-14: 34.1s, comp=3329, chars=14926, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-mini: 31.7s, comp=3049, chars=13498, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.1: 22.3s, comp=4061, chars=20340, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o: 17.1s, comp=3516, chars=16179, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.0: 21.9s, comp=4144, chars=20604, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-2025-04-14: 18.1s, comp=3318, chars=15695, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-sonnet-4: 20.6s, comp=3961, chars=20354, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-2.5-flash: 27.7s, comp=5468, chars=25516, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-mini: 19.9s, comp=3799, chars=18921, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-2024-08-06: 19.9s, comp=3969, chars=19127, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-nano: 12.0s, comp=2406, chars=11612, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-3.1-pro: 18.4s, comp=2537, chars=11221, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.0: 17.7s, comp=2472, chars=11045, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.1: 19.0s, comp=2673, chars=12256, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-mini: 24.6s, comp=4838, chars=23217, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-2.5-flash: 20.5s, comp=2585, chars=11461, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-sonnet-4: 16.6s, comp=2313, chars=10552, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-2025-04-14: 15.9s, comp=2356, chars=10403, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-mini: 15.5s, comp=2914, chars=14238, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-nano: 15.2s, comp=2286, chars=10141, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-2024-08-06: 17.1s, comp=2783, chars=12284, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o: 31.5s, comp=2533, chars=11517, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-mini: 32.9s, comp=2489, chars=11205, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-3.1-pro: 32.3s, comp=2592, chars=12395, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.1: 30.0s, comp=2794, chars=13282, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-2.5-flash: 34.7s, comp=3020, chars=14331, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o: 25.5s, comp=2379, chars=11132, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.0: 39.1s, comp=2888, chars=14164, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-3.1-pro: 11.6s, comp=2243, chars=10880, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-2025-04-14: 33.3s, comp=2409, chars=11866, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-2.5-flash: 3.8s, comp=749, chars=3690, finish=stop, json=err
  ok  gpt-41-nano on claude-opus-4.0: 3.9s, comp=661, chars=3135, finish=stop, json=err
  ok  gpt-41-mini on gpt-41-mini: 24.3s, comp=2525, chars=11942, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-mini: 29.3s, comp=2211, chars=10311, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.1: 9.1s, comp=1933, chars=9090, finish=stop, json=parsed
  ok  gpt-41-nano on claude-sonnet-4: 9.6s, comp=1960, chars=9319, finish=stop, json=parsed
  ok  gpt-41-mini on claude-sonnet-4: 50.6s, comp=2762, chars=13599, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o: 10.2s, comp=2374, chars=11464, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-nano: 32.1s, comp=2228, chars=10683, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-2025-04-14: 9.7s, comp=2259, chars=10788, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-2024-08-06: 37.5s, comp=2308, chars=10516, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-2024-08-06: 10.7s, comp=2281, chars=10774, finish=stop, json=parsed
