Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor6_20260529T032518Z
Reference: claude-opus-4.5 (anchored at 6/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  claude-opus-4.5 on gpt-4o-mini: 59.1s, comp=3618, chars=15507, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o: 61.9s, comp=3457, chars=15465, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-2025-04-14: 70.5s, comp=3697, chars=16526, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-3.1-pro: 74.3s, comp=3803, chars=16750, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.0: 78.9s, comp=4098, chars=18617, finish=stop, json=parsed
  ok  claude-opus-4.5 on gemini-2.5-flash: 80.8s, comp=4400, chars=18789, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-sonnet-4: 82.9s, comp=4376, chars=20849, finish=stop, json=parsed
  ok  claude-opus-4.5 on claude-opus-4.1: 86.1s, comp=4290, chars=19659, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-nano: 51.5s, comp=3079, chars=13902, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-4o-2024-08-06: 77.7s, comp=3946, chars=17961, finish=stop, json=parsed
  ok  claude-opus-4.5 on gpt-41-mini: 93.3s, comp=4713, chars=21153, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-3.1-pro: 99.4s, comp=3500, chars=16348, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.1: 103.0s, comp=3579, chars=16798, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-opus-4.0: 110.4s, comp=3633, chars=16864, finish=stop, json=parsed
  ok  claude-opus-4.1 on claude-sonnet-4: 108.5s, comp=3570, chars=17328, finish=stop, json=parsed
  ok  claude-opus-4.1 on gemini-2.5-flash: 135.1s, comp=4035, chars=19255, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-2025-04-14: 98.0s, comp=3363, chars=15509, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o: 117.0s, comp=3848, chars=17732, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-mini: 108.7s, comp=3830, chars=17998, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-nano: 86.5s, comp=2967, chars=14268, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-3.1-pro: 97.0s, comp=3326, chars=15305, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-4o-2024-08-06: 125.0s, comp=4112, chars=19690, finish=stop, json=parsed
  ok  claude-opus-4.1 on gpt-41-mini: 147.4s, comp=4848, chars=23145, finish=stop, json=parsed
  ok  claude-opus-4.0 on gemini-2.5-flash: 127.0s, comp=4069, chars=19647, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.0: 103.1s, comp=3934, chars=19568, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-opus-4.1: 113.8s, comp=3855, chars=18747, finish=stop, json=parsed
  ok  claude-opus-4.0 on claude-sonnet-4: 91.8s, comp=3293, chars=16040, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o: 127.0s, comp=4012, chars=18885, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-2025-04-14: 120.3s, comp=3862, chars=17926, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-3.1-pro: 71.7s, comp=3772, chars=18112, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-nano: 78.5s, comp=3078, chars=13834, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-mini: 130.0s, comp=4278, chars=20841, finish=stop, json=parsed
  ok  claude-sonnet-4 on gemini-2.5-flash: 84.9s, comp=4171, chars=20523, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-4o-2024-08-06: 128.4s, comp=4223, chars=20459, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.1: 61.4s, comp=3127, chars=15537, finish=stop, json=parsed
  ok  claude-opus-4.0 on gpt-41-mini: 136.5s, comp=4534, chars=21690, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-opus-4.0: 69.2s, comp=3482, chars=16767, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o: 62.4s, comp=3490, chars=16976, finish=stop, json=parsed
  ok  claude-sonnet-4 on claude-sonnet-4: 66.0s, comp=3276, chars=16310, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-mini: 64.8s, comp=3538, chars=18012, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-2025-04-14: 81.7s, comp=4069, chars=19875, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-2.5-flash: 28.7s, comp=3228, chars=14671, finish=stop, json=parsed
  ok  gemini-3.1-pro on gemini-3.1-pro: 32.5s, comp=3382, chars=15831, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-4o-2024-08-06: 61.0s, comp=3281, chars=16515, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.1: 44.2s, comp=3626, chars=16604, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-opus-4.0: 30.3s, comp=3831, chars=17869, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-2025-04-14: 26.3s, comp=3204, chars=13868, finish=stop, json=parsed
  ok  gemini-3.1-pro on claude-sonnet-4: 36.9s, comp=3534, chars=16467, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-mini: 30.4s, comp=3130, chars=14039, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o: 42.0s, comp=3483, chars=15558, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-nano: 76.7s, comp=3817, chars=19640, finish=stop, json=parsed
  ok  claude-sonnet-4 on gpt-41-mini: 90.5s, comp=5247, chars=26323, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-4o-2024-08-06: 34.3s, comp=3230, chars=14798, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-nano: 26.4s, comp=3051, chars=12773, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-3.1-pro: 20.6s, comp=3874, chars=18755, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-mini: 38.7s, comp=3585, chars=16073, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-2.5-flash: 24.8s, comp=4429, chars=21244, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.0: 22.0s, comp=3949, chars=19501, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.1: 24.0s, comp=4549, chars=23074, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-sonnet-4: 21.8s, comp=4143, chars=20213, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o: 21.8s, comp=3883, chars=19085, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-2025-04-14: 21.5s, comp=3525, chars=16997, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-mini: 24.1s, comp=4439, chars=21733, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-nano: 18.3s, comp=3168, chars=15647, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-2024-08-06: 20.2s, comp=3568, chars=15559, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-2.5-flash: 14.7s, comp=2616, chars=12080, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-3.1-pro: 20.7s, comp=2481, chars=11001, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.1: 13.8s, comp=2696, chars=12543, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-mini: 27.0s, comp=4499, chars=21456, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-mini: 13.8s, comp=2762, chars=13029, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.0: 21.3s, comp=2402, chars=10618, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-sonnet-4: 17.2s, comp=2409, chars=11055, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o: 16.9s, comp=2354, chars=10070, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-2025-04-14: 16.8s, comp=2384, chars=10599, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-2024-08-06: 15.1s, comp=3067, chars=13919, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-mini: 13.1s, comp=2645, chars=12286, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-nano: 12.7s, comp=2294, chars=10239, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o: 28.1s, comp=2307, chars=10650, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-2.5-flash: 35.0s, comp=2860, chars=13675, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.0: 33.0s, comp=2709, chars=12790, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.1: 36.8s, comp=2975, chars=14241, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-2025-04-14: 32.6s, comp=2581, chars=13170, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-3.1-pro: 37.2s, comp=2889, chars=14430, finish=stop, json=parsed
  ok  gpt-41-mini on claude-sonnet-4: 34.7s, comp=2810, chars=13899, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-mini: 33.0s, comp=2756, chars=13577, finish=stop, json=parsed
  ok  gpt-41-nano on claude-sonnet-4: 3.6s, comp=582, chars=2790, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-2.5-flash: 10.8s, comp=2591, chars=12466, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.0: 10.7s, comp=2346, chars=11034, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-3.1-pro: 12.8s, comp=2252, chars=10525, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.1: 13.2s, comp=2854, chars=14191, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o: 9.1s, comp=2277, chars=10727, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-2025-04-14: 8.3s, comp=1862, chars=8561, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-mini: 10.1s, comp=2344, chars=11339, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-nano: 24.6s, comp=2208, chars=10514, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-2024-08-06: 10.6s, comp=2061, chars=9257, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-2024-08-06: 28.6s, comp=2547, chars=11876, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-nano: 10.0s, comp=2385, chars=11373, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-mini: 14.1s, comp=2812, chars=13190, finish=stop, json=parsed
  ok  gpt-4o on gemini-3.1-pro: 10.9s, comp=2167, chars=10197, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-mini: 32.9s, comp=2871, chars=14512, finish=stop, json=parsed
  ok  gpt-4o on gemini-2.5-flash: 10.0s, comp=2103, chars=9765, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.1: 12.6s, comp=2094, chars=9704, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o: 11.8s, comp=2252, chars=10719, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.0: 14.1s, comp=2389, chars=11383, finish=stop, json=parsed
  ok  gpt-4o on claude-sonnet-4: 14.8s, comp=2357, chars=11645, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-2024-08-06: 9.5s, comp=2033, chars=9421, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-2025-04-14: 14.2s, comp=2116, chars=9833, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-mini: 10.8s, comp=2164, chars=10130, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-mini: 12.1s, comp=2037, chars=9854, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-nano: 13.6s, comp=2119, chars=9838, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-3.1-pro: 13.0s, comp=2069, chars=9610, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-2.5-flash: 12.9s, comp=2179, chars=10365, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.1: 11.9s, comp=2323, chars=11349, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-opus-4.0: 11.5s, comp=2497, chars=12214, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-2025-04-14: 10.6s, comp=2100, chars=9817, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o: 12.5s, comp=2080, chars=9413, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on claude-sonnet-4: 15.6s, comp=2390, chars=12016, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-mini: 12.2s, comp=2096, chars=9997, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-mini: 11.3s, comp=1886, chars=8534, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-4o-2024-08-06: 12.0s, comp=2147, chars=10099, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gpt-41-nano: 12.2s, comp=2160, chars=10200, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-2.5-flash: 27.2s, comp=2596, chars=12581, finish=stop, json=parsed
  ok  gpt-4o-mini on gemini-3.1-pro: 29.6s, comp=2806, chars=13860, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.1: 28.2s, comp=3159, chars=15963, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o: 23.2s, comp=2764, chars=13589, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-mini: 30.4s, comp=2579, chars=12968, finish=stop, json=missing
  ok  gpt-4o-mini on gpt-41-2025-04-14: 33.0s, comp=2987, chars=14932, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-sonnet-4: 42.2s, comp=2545, chars=12511, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-nano: 23.1s, comp=2230, chars=11395, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-41-mini: 26.1s, comp=2477, chars=12079, finish=stop, json=parsed
  ok  gpt-4o-mini on claude-opus-4.0: 51.0s, comp=3106, chars=15911, finish=stop, json=parsed
  ok  gpt-4o-mini on gpt-4o-2024-08-06: 31.2s, comp=2976, chars=14838, finish=stop, json=parsed

Wrote /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor6_20260529T032518Z/run_info.json
Summary: 132/132 succeeded, 131/132 produced parseable JSON.
