Run dir: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/runs/probe_K_anchor5_20260529T030442Z
Reference: claude-opus-4.5 (anchored at 5/10 on every axis)
Calibrated evaluator prompt: /Users/davidnordfors/python/BOLD/archetypal-contexts/papers/v3/experiments/17_bold_api_probe/prompts/evaluator_calibrated.md (5,512 chars template)
Evaluators: 12; Targets: 11; Total pairs: 132
Max parallel: 8

  ok  gemini-2.5-flash on gemini-3.1-pro: 19.9s, comp=3546, chars=17148, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-nano: 26.0s, comp=2722, chars=11432, finish=stop, json=parsed
  ok  gemini-3.1-pro on gpt-41-mini: 34.6s, comp=3567, chars=16133, finish=stop, json=parsed
  ok  gemini-2.5-flash on gemini-2.5-flash: 17.4s, comp=3764, chars=18782, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.0: 15.9s, comp=3138, chars=15391, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-mini: 14.8s, comp=3043, chars=14207, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-opus-4.1: 24.8s, comp=4484, chars=22820, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o: 17.4s, comp=3606, chars=17122, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-2025-04-14: 17.5s, comp=3357, chars=16233, finish=stop, json=parsed
  ok  gemini-2.5-flash on claude-sonnet-4: 21.8s, comp=3854, chars=19128, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-4o-2024-08-06: 21.8s, comp=3942, chars=19555, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-mini: 20.1s, comp=4125, chars=20395, finish=stop, json=parsed
  ok  gemini-2.5-flash on gpt-41-nano: 19.1s, comp=3598, chars=17466, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-2.5-flash: 13.4s, comp=2507, chars=11713, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.1: 14.8s, comp=2846, chars=13582, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gemini-3.1-pro: 17.9s, comp=2858, chars=13241, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-2025-04-14: 11.4s, comp=2326, chars=10232, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-nano: 13.9s, comp=2558, chars=11954, finish=contentfilter, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o: 20.0s, comp=2505, chars=11073, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-2024-08-06: 36.3s, comp=2763, chars=12035, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-41-mini: 34.9s, comp=2525, chars=11500, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-3.1-pro: 25.7s, comp=2694, chars=13060, finish=stop, json=parsed
  ok  gpt-41-mini on gemini-2.5-flash: 24.4s, comp=2555, chars=12007, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-sonnet-4: 54.4s, comp=4153, chars=19425, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.1: 27.3s, comp=2942, chars=14142, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on claude-opus-4.0: 60.8s, comp=4394, chars=20099, finish=stop, json=parsed
  ok  gpt-41-mini on claude-opus-4.0: 24.0s, comp=2682, chars=12769, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o: 24.1s, comp=2735, chars=13073, finish=stop, json=parsed
  ok  gpt-41-mini on claude-sonnet-4: 24.2s, comp=2729, chars=13216, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-2025-04-14: 23.0s, comp=2563, chars=12107, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-3.1-pro: 7.4s, comp=1774, chars=8080, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-2024-08-06: 24.4s, comp=2690, chars=12772, finish=stop, json=parsed
  ok  gpt-41-2025-04-14 on gpt-4o-mini: 70.7s, comp=5105, chars=23505, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-4o-mini: 29.9s, comp=3095, chars=15165, finish=stop, json=parsed
  ok  gpt-41-nano on gemini-2.5-flash: 12.4s, comp=2681, chars=13160, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.1: 8.6s, comp=1970, chars=9412, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-mini: 26.7s, comp=2550, chars=12140, finish=stop, json=parsed
  ok  gpt-41-nano on claude-sonnet-4: 8.9s, comp=1950, chars=9370, finish=stop, json=parsed
  ok  gpt-41-nano on claude-opus-4.0: 11.8s, comp=2791, chars=13790, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o: 10.6s, comp=2411, chars=11468, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-2025-04-14: 9.3s, comp=2092, chars=9957, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-2024-08-06: 9.6s, comp=2232, chars=10178, finish=stop, json=parsed
  ok  gpt-41-mini on gpt-41-nano: 22.8s, comp=2035, chars=9393, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-4o-mini: 10.3s, comp=2326, chars=11145, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-mini: 12.5s, comp=2843, chars=13320, finish=stop, json=parsed
  ok  gpt-41-nano on gpt-41-nano: 8.6s, comp=1905, chars=8661, finish=stop, json=parsed
  ok  gpt-4o on gemini-3.1-pro: 12.6s, comp=1967, chars=8859, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o: 11.9s, comp=2168, chars=10695, finish=stop, json=parsed
  ok  gpt-4o on claude-sonnet-4: 13.7s, comp=2608, chars=13212, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.0: 15.0s, comp=2395, chars=11599, finish=stop, json=parsed
  ok  gpt-4o on gemini-2.5-flash: 21.6s, comp=2226, chars=10861, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-2024-08-06: 11.4s, comp=1993, chars=9254, finish=stop, json=parsed
  ok  gpt-4o on claude-opus-4.1: 22.6s, comp=2413, chars=11898, finish=stop, json=parsed
  ok  gpt-4o on gpt-4o-mini: 17.9s, comp=2077, chars=9603, finish=stop, json=parsed
  ok  gpt-4o on gpt-41-2025-04-14: 19.9s, comp=2172, chars=10050, finish=stop, json=parsed
  ok  gpt-4o-2024-08-06 on gemini-3.1-pro: 12.4s, comp=2117, chars=9847, finish=stop, json=parsed
